station,temp_eve,latitude,longitude,lat_m,lon_m
KNCJACKS110,27.864516129032257,34.77561,-77.36291,4133429.0961429123,-8611999.747485852
KNCJACKS118,28.0,34.808,-77.464,4137819.6259069876,-8623253.034810144
KNCJACKS12,28.280645161290323,34.77021,-77.43667,4132697.2829236668,-8620210.673126765
KNCJACKS154,28.293548387096777,34.747,-77.436,4129552.3863195265,-8620136.089067932
KNCJACKS165,28.241935483870968,34.75,-77.418,4129958.8290286926,-8618132.338233655
KNCJACKS167,28.532258064516128,34.806,-77.465,4137548.4719105777,-8623364.354300937
KNCJACKS23,28.074193548387097,34.77099,-77.43595,4132802.986318628,-8620130.523093393
KNCJACKS30,28.758064516129032,34.76218,-77.4266,4131609.1380998245,-8619089.685854474
KNCJACKS77,28.64516129032258,34.743,-77.433,4129010.485669163,-8619802.130595554
KNCJARVI3,27.970967741935485,36.19898,-75.85651,4328035.368079848,-8444308.066554865
KNCJEFFE17,23.370967741935484,36.40739,-81.38886,4356823.375166105,-9060166.451445032
KNCJEFFE34,23.69032258064516,36.412,-81.4,4357461.0330664655,-9061406.55057247
KNCJEFFE8,22.529032258064515,36.425,-81.43,4359259.404537137,-9064746.135296268
KNCJEFFE9,23.280645161290323,36.413,-81.402,4357599.358646789,-9061629.189554056
KNCJONES6,26.70967741935484,36.23208,-80.88923,4332602.391310351,-9004547.89425999
KNCKANNA37,28.55806451612903,35.46,-80.639,4226570.354274345,-8976692.418078788
KNCKANNA42,28.55483870967742,35.491,-80.545,4230807.900794416,-8966228.38594422
KNCKANNA45,29.280645161290323,35.464,-80.608,4227117.0426759375,-8973241.513864197
KNCKANNA50,28.183870967741935,35.46,-80.681,4226570.354274345,-8981367.836692106
KNCKANNA69,29.23225806451613,35.462,-80.656,4226843.695076966,-8978584.849422274
KNCKENLY10,29.270967741935483,35.651,-78.18,4252705.163203268,-8702957.790218128
KNCKENLY11,28.561290322580643,35.567,-78.1,4241203.648039144,-8694052.230954666
KNCKERNE15,28.009677419354837,36.10721,-80.10977,4315383.3479276085,-8917778.803966263
KNCKERNE25,28.106451612903225,36.16608,-80.05528,4323497.853227908,-8911713.004912937
KNCKERNE34,27.03548387096774,36.117,-80.137,4316732.357103752,-8920810.033700563
KNCKERNE36,27.88064516129032,36.121,-80.114,4317283.583917509,-8918249.68541232
KNCKERNE73,28.548387096774192,36.14293,-80.0432,4320306.184137743,-8910368.265464155
KNCKERNE80,27.374193548387098,36.19974,-79.99878,4328140.208578308,-8905423.453683117
KNCKERNE84,27.570967741935487,36.071,-80.061,4310395.265527951,-8912349.752400275
KNCKILLD105,27.612903225806452,36.007,-75.68,4301584.604002307,-8424659.063234946
KNCKILLD116,27.825806451612905,36.043,-75.679,4306539.719964936,-8424547.74374415
KNCKILLD144,27.69677419354839,36.046,-75.689,4306952.748528884,-8425660.938652081
KNCKILLD152,27.851612903225806,36.01978,-75.71868,4303343.410981607,-8428964.901138829
KNCKILLD43,27.9,36.05259,-75.69142,4307860.089871171,-8425930.331819803
KNCKILLD52,27.62258064516129,36.05151,-75.68639,4307711.385326915,-8425370.394781113
KNCKILLD66,27.603225806451615,36.051,-75.687,4307641.164445818,-8425438.299670495
KNCKILLD68,27.741935483870968,36.01196,-75.68573,4302267.174415931,-8425296.923917191
KNCKILLD78,27.822580645161292,36.014,-75.718,4302547.92148635,-8428889.203885088
KNCKILLD80,27.79032258064516,36.037,-75.687,4305713.710045143,-8425438.299670495
KNCKILLD99,27.654838709677417,36.011,-75.658,4302135.060661578,-8422210.034437492
KNCKING33,27.316129032258065,36.312,-80.33,4343637.45291552,-8942294.695423666
KNCKING37,27.229032258064517,36.375,-80.323,4352344.237683372,-8941515.458988113
KNCKING66,28.24516129032258,36.28401,-80.3625,4339771.410502583,-8945912.578874446
KNCKING68,27.825806451612905,36.278,-80.328,4338941.476496223,-8942072.05644208
KNCKING9,27.0258064516129,36.34017,-80.3401,4347529.7589563895,-8943419.022280678
KNCKINST35,28.29032258064516,35.294,-77.668,4203906.693598433,-8645962.210931972
KNCKITTR5,27.73225806451613,36.205,-78.406,4328865.843087135,-8728115.995137408
KNCKITTY22,27.73870967741935,36.12134,-75.74742,4317330.439491646,-8432164.223304227
KNCKITTY36,27.19032258064516,36.08396,-75.70983,4312180.296956037,-8427979.723645307
KNCKITTY64,27.835483870967742,36.12408,-75.7236,4317708.047702016,-8429512.593033532
KNCKITTY84,27.703225806451613,36.06,-75.695,4308880.423304768,-8426328.855596842
KNCKNIGH19,28.93548387096774,35.80174,-78.43622,4273375.282106426,-8731480.070149181
KNCKNIGH45,28.825806451612905,35.782,-78.516,4270666.220400556,-8740361.13912467
KNCKNIGH49,28.683870967741935,35.772,-78.468,4269294.105434472,-8735017.803566592
KNCKNIGH51,28.75483870967742,35.775,-78.51,4269705.721804857,-8739693.222179908
KNCKNIGH55,28.26774193548387,35.805,-78.483,4273822.740034355,-8736687.59592849
KNCKNIGH57,29.39032258064516,35.798,-78.465,4272861.963419683,-8734683.845094211
KNCKNIGH7,28.470967741935485,35.82079,-78.48887,4275990.288547321,-8737341.041339448
KNCKUREB17,28.493548387096773,34.00276,-77.907,4029172.6327225873,-8672567.569231564
KNCKUREB20,28.280645161290323,34.002,-77.91,4029070.5804316294,-8672901.527703945
KNCLAKEL24,26.04516129032258,35.417,-82.154,4220695.16961482,-9145341.446630595
KNCLAKET13,22.432258064516127,35.14099,-82.92306,4183057.666850482,-9230952.814220073
KNCLAKET37,22.91290322580645,35.12501,-82.95534,4180882.5073420475,-9234546.20738288
KNCLAKET45,22.91290322580645,35.15,-82.928,4184284.2748276116,-9231502.732504591
KNCLAKET62,22.76451612903226,35.137,-82.907,4182514.51757131,-9229165.023197932
KNCLAKET68,22.812903225806455,35.129,-82.884,4181425.576646191,-9226604.674909687
KNCLANDI9,28.87741935483871,35.547,-80.617,4238466.970155329,-8974243.389281336
KNCLANSI24,22.483870967741936,36.561,-81.519,4378091.227108343,-9074653.569976868
KNCLANSI3,22.719354838709677,36.51047,-81.54339,4371090.512432888,-9077368.652357316
KNCLANSI41,23.42258064516129,36.488,-81.468,4367978.858602561,-9068976.27594641
KNCLANSI44,21.76451612903226,36.506,-81.478,4370471.433240651,-9070089.470854344
KNCLANSI46,22.938709677419357,36.488,-81.495,4367978.858602561,-9071981.90219783
KNCLAURE33,23.05483870967742,36.504,-81.284,4370194.4518887,-9048493.48964045
KNCLAURI10,28.280645161290323,34.77,-79.484,4132668.8244880238,-8848118.406212555
KNCLAURI27,28.258064516129032,34.768,-79.483,4132397.7953963666,-8848007.086721765
KNCLAURI9,27.80322580645161,34.84974,-79.44278,4143480.1125368937,-8843529.816802057
KNCLAWSO8,26.893548387096775,36.505,-80.254,4370332.941670225,-8933834.414123379
KNCLEICE42,24.664516129032258,35.648,-82.682,4252294.18672818,-9204118.137769446
KNCLEICE51,24.54516129032258,35.673,-82.707,4255719.4624640355,-9206901.125039276
KNCLEICE55,20.54516129032258,35.66,-82.874,4253938.185248515,-9225491.480001753
KNCLEICE6,24.387096774193548,35.65715,-82.7282,4253547.713233804,-9209261.098244095
KNCLELAN109,27.996774193548383,34.222,-78.032,4058650.2977381786,-8686482.505580723
KNCLELAN115,28.20967741935484,34.232,-78.029,4059996.661910993,-8686148.547108343
KNCLELAN120,27.774193548387096,34.22139,-78.0535,4058568.1746962275,-8688875.87463278
KNCLELAN142,28.338709677419356,34.224,-78.03,4058919.557784774,-8686259.866599137
KNCLELAN33,27.73548387096774,34.24224,-77.99234,4061375.504523933,-8682067.574575862
KNCLELAN52,28.22258064516129,34.22714,-78.02048,4059342.308956439,-8685200.105046786
KNCLELAN65,27.95483870967742,34.187,-78.044,4053939.281182217,-8687818.339470241
KNCLELAN71,28.05161290322581,34.238,-78.009,4060804.557160177,-8683922.157292478
KNCLELAN77,27.94516129032258,34.205,-78.094,4056361.845384449,-8693384.314009905
KNCLELAN86,28.351612903225806,34.213,-78.01,4057438.706629292,-8684033.476783272
KNCLENOI112,26.42258064516129,35.909,-81.396,4288107.126020697,-9060961.272609295
KNCLENOI75,26.383870967741935,35.839,-81.605,4278490.574330448,-9084227.04618509
KNCLENOI77,26.616129032258065,35.914,-81.533,4288794.347909784,-9076212.042847974
KNCLEWIS2,27.183870967741935,36.09295,-80.41142,4313418.69763301,-8951358.328364054
KNCLEWIS22,26.42258064516129,36.08518,-80.44179,4312348.347474125,-8954739.101299446
KNCLEWIS29,27.183870967741935,36.11,-80.402,4315767.777741399,-8950309.698760781
KNCLEWIS30,27.200000000000003,36.087,-80.387,4312599.050635273,-8948639.906398883
KNCLEWIS51,28.04516129032258,36.078,-80.431,4311359.366336463,-8953537.963993786
KNCLEWIS56,27.651612903225807,36.094,-80.4,4313563.347662061,-8950087.059779197
KNCLEXIN189,28.070967741935487,35.804,-80.381,4273685.481048627,-8947971.989454122
KNCLEXIN207,27.403225806451612,35.933,-80.339,4291406.187313927,-8943296.570840806
KNCLEXIN222,27.806451612903224,35.69061,-80.074,4258132.870754706,-8913796.905780587
KNCLEXIN226,27.896774193548385,35.756,-80.164,4267099.080314011,-8923815.659951983
KNCLEXIN227,28.541935483870965,35.78,-80.233,4270391.783600916,-8931496.704816718
KNCLEXIN228,28.60322580645161,35.769,-80.266,4268882.504591714,-8935170.248012897
KNCLEXIN231,28.403225806451612,35.758,-80.178,4267373.434311907,-8925374.13282309
KNCLEXIN238,28.29032258064516,35.81,-80.24,4274509.060886287,-8932275.94125227
KNCLEXIN241,28.403225806451612,35.6915,-80.25045,4258254.857264079,-8933439.229931062
KNCLEXIN242,28.216129032258067,35.74,-80.208,4264904.496519499,-8928713.717546886
KNCLEXIN250,28.009677419354837,35.94641,-80.30473,4293249.973951493,-8939481.651891321
KNCLEXIN36,28.870967741935484,35.6654,-80.24034,4254678.065181154,-8932313.789879141
KNCLEXIN40,27.864516129032257,35.79228,-80.22928,4272076.934518379,-8931082.596310968
KNCLIBER2,28.887096774193548,35.89619,-79.59388,4286346.661660536,-8860350.191860922
KNCLIBER21,28.23548387096774,35.884,-79.532,4284671.667736753,-8853461.741770633
KNCLIBER27,28.85483870967742,35.852,-79.581,4280275.863142977,-8858916.396819504
KNCLILLI24,28.638709677419353,35.406,-78.815,4219192.719174193,-8773645.666871855
KNCLILLI41,28.825806451612905,35.425,-78.919,4221787.989682144,-8785222.893914357
KNCLILLI46,28.84193548387097,35.323,-79.004,4207862.64968804,-8794685.050631786
KNCLINCO36,27.51290322580645,35.505,-81.269,4232722.167310497,-9046823.697278552
KNCLINCO48,28.932258064516127,35.504,-81.133,4232585.422923111,-9031684.246530663
KNCLINCO52,27.0,35.515,-81.132,4234089.704846643,-9031572.927039873
KNCLINCO70,28.438709677419357,35.465,-81.327,4227253.719024265,-9053280.227744559
KNCLINCO77,27.55806451612903,35.423,-81.24,4221514.774491065,-9043595.432045544
KNCLINCO81,28.55483870967742,35.449,-81.362,4225067.101314729,-9057176.409922324
KNCLINCO89,28.038709677419355,35.48,-81.289,4229304.068216911,-9049050.087094415
KNCLINVI2,19.067741935483873,36.11565,-81.85208,4316546.324391901,-9111731.865970291
KNCLINVI33,18.887096774193548,36.108,-81.87,4315492.199428138,-9113726.711245308
KNCLITTL46,29.293548387096777,36.538,-77.93,4374904.108562614,-8675127.91751981
KNCLOCUS9,28.76129032258065,35.29026,-80.3668,4203396.614883509,-8946391.252684858
KNCLONGC1,28.654838709677417,35.401,-80.892,4218509.854938305,-9004856.249249486
KNCLOUIS14,27.9,35.985,-78.31,4298557.591421053,-8717429.324021254
KNCLOUIS23,28.451612903225808,36.008,-78.306,4301722.215548767,-8716984.04605808
KNCLOUIS35,28.103225806451615,35.9638,-78.19744,4295641.450433978,-8704899.202137562
KNCLOUIS49,28.212903225806453,35.98,-78.347,4297869.751737669,-8721548.145180603
KNCLUCAM22,29.112903225806452,35.655,-78.016,4253253.15584733,-8684701.39372803
KNCLUMBE24,28.200000000000003,34.698,-78.885,4122915.9100523437,-8781438.031227386
KNCLUMBE8,28.529032258064515,34.75246,-79.01678,4130292.123066729,-8796107.713724123
KNCMADIS15,28.016129032258064,36.384,-79.832,4353588.63945946,-8886857.589008614
KNCMADIS22,28.48064516129032,36.387,-79.966,4354003.47205658,-8901774.400774915
